type,sharpe
With Context,0.5696215960123453
With Context,0.21504187495287247
With Context,0.5696215960123453
With Context,0.5696215960123453
With Context,0.5696215960123453
With Context,0.21504187495287247
With Context,0.21504187495287247
With Context,0.21504187495287247
With Context,0.21504187495287247
With Context,0.21504187495287247
With Context,0.5696215960123453
With Context,0.5696215960123453
With Context,0.21504187495287247
With Context,0.21504187495287247
With Context,0.5696215960123453
With Context,0.5696215960123453
With Context,0.5696215960123453
With Context,-0.09088874388616257
With Context,0.5696215960123453
With Context,0.5696215960123453
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5696215960123453
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5696215960123453
No Context,0.5984071818353794
No Context,0.5696215960123453
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5696215960123453
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5984071818353794
No Context,0.5984071818353794
